Team,Owner 01,,,Owner 02,,,Owner 03,,,Owner 04,,,Owner 05,,,Owner 06,,,Owner 07,,,Owner 08,,,Owner 09,,,Owner 10,,,Owner 11,,,Owner 12,,,Owner 13,,,Owner 14,,
9,$3 ,TE,Pat Freiermuth,$2 ,RB,Tyjae Spears,$1 ,DEF,Miami Dolphins,$1 ,WR,Darnell Mooney,$4 ,RB,Devin Singletary,$7 ,WR,Diontae Johnson,$3 ,QB,Dak Prescott,$2 ,DEF,New Orleans Saints,$2 ,K,Harrison Butker,$3 ,DEF,Philadelphia Eagles,$1 ,RB,Jeffery Wilson,$3 ,RB,Rashaad Penny,$2 ,DEF,Dallas Cowboys,$4 ,QB,Trevor Lawrence
10,$2 ,K,Younghoe Koo,$1 ,DEF,Tampa Bay Buccaneers,$1 ,WR,John Metchie,$1 ,RB,Roschon Johnson,$2 ,RB,Raheem Mostert,$2 ,QB,Anthony Richardson,$1 ,WR,Jakobi Meyers,$2 ,WR,Odell Beckham,$6 ,RB,AJ Dillon,$1 ,QB,Sam Howell,$14 ,WR,Brandon Aiyuk,$1 ,DEF,Atlanta Falcons,$5 ,WR,Zay Flowers,$6 ,RB,Antonio Gibson
11,$2 ,WR,Adam Thielen,$4 ,RB,Elijah Mitchell,$3 ,RB,Devon Achane,$1 ,RB,Kenyan Drake,$7 ,WR,Mike Evans,$4 ,WR,Marquise Brown,$1 ,RB,Ronald Jones,$2 ,WR,Kadarius Toney,$1 ,QB,Russell Wilson,$3 ,WR,Brandin Cooks,$1 ,QB,Kyler Murray,$2 ,WR,Courtland Sutton,$3 ,RB,Kenneth Gainwell,$3 ,WR,Michael Pittman
12,$1 ,QB,Jordan Love,$1 ,TE,Luke Musgrave,$1 ,WR,Justyn Ross,$1 ,QB,Kenny Pickett,$1 ,DEF,Washington Commanders,$1 ,DEF,New York Jets,$1 ,RB,Zack Moss,$2 ,WR,JuJu Smith-Schuster,$2 ,WR,Tyler Boyd,$1 ,WR,Michael Wilson,$3 ,WR,Quentin Johnston,$2 ,RB,Tyler Allgeier,$5 ,WR,Gabriel Davis,$2 ,DEF,Baltimore Ravens
13,$1 ,WR,Romeo Doubs,$1 ,WR,K.J. Osborn,$1 ,WR,Donovan Peoples-Jones,$1 ,RB,Chase Edmonds,$1 ,RB,Cordarrelle Patterson,$4 ,WR,Allen Lazard,$1 ,WR,Rashod Bateman,$2 ,TE,Zach Ertz,$1 ,RB,Keaontay Ingram,$1 ,TE,David Njoku,$1 ,DEF,Indianapolis Colts,$1 ,TE,Chigoziem Okonkwo,$2 ,WR,Jameson Williams,$1 ,WR,Jonathan Mingo
14,$1 ,TE,Hunter Henry,$1 ,RB,Zamir White,$1 ,RB,Matt Breida,$1 ,WR,Jalin Hyatt,$1 ,K,Matt Gay,$1 ,WR,Elijah Moore,$1 ,WR,Chase Claypool,$1 ,K,Daniel Carlson,$1 ,TE,Juwan Johnson,$1 ,TE,Sam LaPorta ,$1 ,WR,Curtis Samuel,$1 ,RB,Jerome Ford,$2 ,RB,Damien Harris,$1 ,RB,Chase Brown
15,$1 ,WR,Kayshon Boutte,$1 ,K,Wil Lutz,$1 ,RB,Kareem Hunt,$1 ,WR,D.J. Chark,$1 ,WR,Marquez Valdes-Scantling,$1 ,WR,Rashee Rice,$1 ,RB,Ameer Abdullah,$2 ,RB,Joshua Kelley,$1 ,DEF,Green Bay Packers,$1 ,WR,Van Jefferson,$1 ,K,Greg Joseph,$2 ,WR,Marvin Mims,$1 ,TE,Cole Kmet,$1 ,K,Cameron Dicker
16,$1 ,RB,Mark Ingram,$1 ,WR,Alec Pierce,$1 ,TE,Greg Dulcich,,,,$1 ,WR,Hunter Renfrow,$1 ,RB,Kendre Miller,$1 ,WR,Sterling Shepard,$1 ,TE,Logan Thomas,$1 ,RB,D'Onta Foreman,$1 ,WR,Michael Gallup,$1 ,RB,Clyde Edwards-Helaire,$1 ,K,Jason Myers,$1 ,RB,Gus Edwards,$1 ,TE,Taysom Hill 
Spent,$200,,,$200,,,$200,,,$199,,,$200,,,$199,,,$200,,,$198,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,
Budget,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,
Available,$0,,,$0,,,$0,,,$1,,,$0,,,$1,,,$0,,,$2,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,
Slots,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,1,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0
QB,2,3,,1,3,,1,3,,2,3,,2,3,,2,3,,1,3,,1,3,,2,3,,2,3,,2,3,,1,3,,1,3,,2,3,
RB,4,6,,6,6,,5,6,,5,6,,6,6,,5,6,,6,6,,5,6,,5,6,,4,6,,6,6,,5,6,,5,6,,5,6,
WR,6,6,,5,6,,6,6,,6,6,,5,6,,6,6,,6,6,,6,6,,4,6,,6,6,,5,6,,6,6,,6,6,,5,6,
TE,2,2,,2,2,,2,2,,1,2,,1,2,,1,2,,1,2,,2,2,,2,2,,2,2,,1,2,,2,2,,2,2,,2,2,
DEF,1,2,,1,2,,1,2,,0,2,,1,2,,1,2,,1,2,,1,2,,2,2,,1,2,,1,2,,1,2,,1,2,,1,2,
K,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,
